id,Menu,Energy (kJ),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),PUFA (g),Cholesterol (mg),Vitamin A (mg),Vitamin E (eq.) (mg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B6 (mg),Total Folic Acid (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Zinc (mg),meal_type
1,bihun goreng,992,1.9,15.2,22.9,0.2,8.8,0,0,1,0.02,0.02,0.04,2,0,0,23,2,10,30,0.2,0.3,Sarapan
2,ubi jalar putih,469,2.4,0.1,26.3,1.4,0.1,0,0,6,0.12,0.03,0.26,18,14,3,348,9,30,45,0.9,0.6,Cemilan
3,martabak manis,929,2.5,17.1,15.2,0,9,85,38,1,0.01,0.11,0.02,9,0,25,26,10,2,35,0.3,0.2,Cemilan
4,mie ayam,590,4.8,0.7,28.3,1.7,0.3,0,0,0,0.02,0.02,0.04,7,0,1,31,7,18,54,0.5,0.5,Makan Siang
5,mie bakso,590,4.8,0.7,28.3,1.7,0.3,0,0,0,0.02,0.02,0.04,7,0,1,31,7,18,54,0.5,0.5,Makan Siang
6,mie basah,590,4.8,0.7,28.3,1.7,0.3,0,0,0,0.02,0.02,0.04,7,0,1,31,7,18,54,0.5,0.5,Makan Siang
7,mie kering,1360,9.6,6.4,56.6,3.4,0.7,0,0,0,0.04,0.04,0.08,14,0,2,62,14,36,108,1,1,Makan Siang
8,mie soun,1594,0.3,0.1,91.3,0.9,0,0,0,0,0,0,0,0,0,9,3,2,3,13,0.5,0.1,Makan Siang
9,misoa,1297,10.6,1.5,62.3,3.7,0.7,0,0,0,0.04,0.04,0.09,15,0,2,68,15,40,119,1.1,1.1,Makan Siang
10,nasi goreng,1046,3.5,17.2,20.1,0.2,8.9,26,10,1,0.02,0.05,0.06,4,0,9,43,5,11,44,0.3,0.5,Makan Siang
